date,Research,gasage_yr_bp,co2_ppmv,sig_mean_co2_ppmv
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",2.2935131,311.57095,2.214634332
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",3.33660317,310.3629002,0.634027909
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",3.37313996,312.8663621,2.214635866
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",4.38416084,312.5596868,2.214635502
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",4.44277983,311.9671347,2.082558942
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",4.61261127,311.8114965,3.123674778
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",5.03719019,310.4402044,2.564594558
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",5.23567708,311.2775835,0.410881508
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",5.49095734,310.2243096,0.634027321
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",6.42635206,312.3616402,2.214635267
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",7.79265892,311.8780536,2.768216485
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",7.96458715,312.843733,2.564597012
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",8.22030175,312.3939386,2.214635306
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",9.16058463,311.8022677,2.214634605
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",9.24599124,307.7386636,1.161638188
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",10.031,309.800915,0.635388242
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",10.40817268,310.9510867,0.634030329
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",10.77751492,311.2117943,0.634031385
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",11.03227736,310.4566675,2.168933292
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",11.8384,308.4798278,0.635368601
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",11.87014751,311.9410288,1.34211432
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",12.13211987,311.5205097,2.214634274
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",12.23330695,312.3293255,0.134565591
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",13.1367857,307.4076932,1.161637452
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",14.12664191,309.3446869,2.870408723
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",14.29054333,307.2585986,1.16163712
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",14.94369889,306.3197984,1.161635039
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",16.1235754,309.6306261,0.634024903
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",16.40695078,307.0755443,2.564591083
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",17.21907557,305.9440282,1.161634207
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",17.46270071,308.2791992,2.214630464
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",17.7063958,308.2555622,0.634019259
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",19.17030616,305.7409187,1.451901426
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",20.61367427,305.3808267,0.068946337
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",21.2564,305.7829415,0.635328764
